Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,77754.500000,77754.500000,77754.500000,77754.500000,77754.500000,0
2017-01-03,76618.203125,76618.203125,76618.203125,76618.203125,76618.203125,0
2017-01-04,76143.601563,76143.601563,76143.601563,76143.601563,76143.601563,0
2017-01-05,76386.296875,76386.296875,76386.296875,76386.296875,76386.296875,0
2017-01-06,77106.601563,77106.601563,77106.601563,77106.601563,77106.601563,0
2017-01-09,77394.398438,77394.398438,77394.398438,77394.398438,77394.398438,0
2017-01-10,77393.703125,77393.703125,77393.703125,77393.703125,77393.703125,0
2017-01-11,77666.601563,77666.601563,77666.601563,77666.601563,77666.601563,0
2017-01-12,80891.000000,80891.000000,80891.000000,80891.000000,80891.000000,0
2017-01-13,81524.296875,81524.296875,81524.296875,81524.296875,81524.296875,0
2017-01-16,81711.703125,81711.703125,81711.703125,81711.703125,81711.703125,0
2017-01-17,82362.796875,82362.796875,82362.796875,82362.796875,82362.796875,0
2017-01-18,82779.203125,82779.203125,82779.203125,82779.203125,82779.203125,0
2017-01-19,82300.296875,82300.296875,82300.296875,82300.296875,82300.296875,0
2017-01-20,83067.101563,83067.101563,83067.101563,83067.101563,83067.101563,0
2017-01-23,83047.796875,83047.796875,83047.796875,83047.796875,83047.796875,0
2017-01-24,84207.898438,84207.898438,84207.898438,84207.898438,84207.898438,0
2017-01-25,83128.296875,83128.296875,83128.296875,83128.296875,83128.296875,0
2017-01-26,83826.500000,83826.500000,83826.500000,83826.500000,83826.500000,0
2017-01-27,83827.398438,83827.398438,83827.398438,83827.398438,83827.398438,0
2017-01-30,86237.500000,86237.500000,86237.500000,86237.500000,86237.500000,0
2017-01-31,86295.703125,86295.703125,86295.703125,86295.703125,86295.703125,0
2017-02-01,86848.000000,86848.000000,86848.000000,86848.000000,86848.000000,0
2017-02-02,87394.203125,87394.203125,87394.203125,87394.203125,87394.203125,0
2017-02-03,88389.500000,88389.500000,88389.500000,88389.500000,88389.500000,0
2017-02-06,87357.898438,87357.898438,87357.898438,87357.898438,87357.898438,0
2017-02-07,87476.703125,87476.703125,87476.703125,87476.703125,87476.703125,0
2017-02-08,88249.101563,88249.101563,88249.101563,88249.101563,88249.101563,0
2017-02-09,88830.203125,88830.203125,88830.203125,88830.203125,88830.203125,0
2017-02-10,87473.296875,87473.296875,87473.296875,87473.296875,87473.296875,0
2017-02-13,88578.296875,88578.296875,88578.296875,88578.296875,88578.296875,0
2017-02-14,88082.203125,88082.203125,88082.203125,88082.203125,88082.203125,0
2017-02-15,87882.000000,87882.000000,87882.000000,87882.000000,87882.000000,0
2017-02-16,88186.898438,88186.898438,88186.898438,88186.898438,88186.898438,0
2017-02-17,88830.398438,88830.398438,88830.398438,88830.398438,88830.398438,0
2017-02-20,88587.703125,88587.703125,88587.703125,88587.703125,88587.703125,0
2017-02-21,null,null,null,null,null,null
2017-02-22,88531.296875,88531.296875,88531.296875,88531.296875,88531.296875,0
2017-02-23,89138.398438,89138.398438,89138.398438,89138.398438,89138.398438,0
2017-02-24,88258.500000,88258.500000,88258.500000,88258.500000,88258.500000,0
2017-02-27,87765.398438,87765.398438,87765.398438,87765.398438,87765.398438,0
2017-02-28,87478.296875,87478.296875,87478.296875,87478.296875,87478.296875,0
